chrom	chrom_num	start	end	cumulative_chr	cumulative_start	cumulative_end	cyto	cyto_full
chr4	4	4500000	6000000	chrAll	694972424	696472424	chr4_p16	chr4_p16.2
chr4	4	6000000	11300000	chrAll	696472424	701772424	chr4_p16	chr4_p16.1
chr4	4	11300000	15200000	chrAll	701772424	705672424	chr4_p15	chr4_p15.33
chr4	4	15200000	17800000	chrAll	705672424	708272424	chr4_p15	chr4_p15.32
chr4	4	17800000	21300000	chrAll	708272424	711772424	chr4_p15	chr4_p15.31
chr4	4	21300000	27700000	chrAll	711772424	718172424	chr4_p15	chr4_p15.2
chr4	4	27700000	35800000	chrAll	718172424	726272424	chr4_p15	chr4_p15.1
chr4	4	35800000	41200000	chrAll	726272424	731672424	chr4_p14	chr4_p14
chr4	4	41200000	44600000	chrAll	731672424	735072424	chr4_p13	chr4_p13
chr4	4	44600000	48200000	chrAll	735072424	738672424	chr4_p12	chr4_p12
chr4	4	48200000	50400000	chrAll	738672424	740872424	chr4_p11	chr4_p11
chr4	4	50400000	52700000	chrAll	740872424	743172424	chr4_q11	chr4_q11
chr4	4	52700000	59500000	chrAll	743172424	749972424	chr4_q12	chr4_q12
chr4	4	59500000	66600000	chrAll	749972424	757072424	chr4_q13	chr4_q13.1
chr4	4	66600000	70500000	chrAll	757072424	760972424	chr4_q13	chr4_q13.2
chr4	4	70500000	76300000	chrAll	760972424	766772424	chr4_q13	chr4_q13.3
chr4	4	76300000	78900000	chrAll	766772424	769372424	chr4_q21	chr4_q21.1
chr4	4	78900000	82400000	chrAll	769372424	772872424	chr4_q21	chr4_q21.21
chr4	4	82400000	84100000	chrAll	772872424	774572424	chr4_q21	chr4_q21.22
chr4	4	84100000	86900000	chrAll	774572424	777372424	chr4_q21	chr4_q21.23
chr4	4	86900000	88000000	chrAll	777372424	778472424	chr4_q21	chr4_q21.3
chr4	4	88000000	93700000	chrAll	778472424	784172424	chr4_q22	chr4_q22.1
chr4	4	93700000	95100000	chrAll	784172424	785572424	chr4_q22	chr4_q22.2
chr4	4	95100000	98800000	chrAll	785572424	789272424	chr4_q22	chr4_q22.3
chr4	4	98800000	101100000	chrAll	789272424	791572424	chr4_q23	chr4_q23
chr4	4	101100000	107700000	chrAll	791572424	798172424	chr4_q24	chr4_q24
chr4	4	107700000	114100000	chrAll	798172424	804572424	chr4_q25	chr4_q25
chr4	4	114100000	120800000	chrAll	804572424	811272424	chr4_q26	chr4_q26
chr4	4	120800000	123800000	chrAll	811272424	814272424	chr4_q27	chr4_q27
chr4	4	123800000	128800000	chrAll	814272424	819272424	chr4_q28	chr4_q28.1
chr4	4	128800000	131100000	chrAll	819272424	821572424	chr4_q28	chr4_q28.2
chr4	4	131100000	139500000	chrAll	821572424	829972424	chr4_q28	chr4_q28.3
chr4	4	139500000	141500000	chrAll	829972424	831972424	chr4_q31	chr4_q31.1
chr4	4	141500000	146800000	chrAll	831972424	837272424	chr4_q31	chr4_q31.21
chr4	4	146800000	148500000	chrAll	837272424	838972424	chr4_q31	chr4_q31.22
chr4	4	148500000	151100000	chrAll	838972424	841572424	chr4_q31	chr4_q31.23
chr4	4	151100000	155600000	chrAll	841572424	846072424	chr4_q31	chr4_q31.3
chr4	4	155600000	161800000	chrAll	846072424	852272424	chr4_q32	chr4_q32.1
chr4	4	161800000	164500000	chrAll	852272424	854972424	chr4_q32	chr4_q32.2
chr4	4	164500000	170100000	chrAll	854972424	860572424	chr4_q32	chr4_q32.3
chr4	4	170100000	171900000	chrAll	860572424	862372424	chr4_q33	chr4_q33
chr4	4	171900000	176300000	chrAll	862372424	866772424	chr4_q34	chr4_q34.1
chr4	4	176300000	177500000	chrAll	866772424	867972424	chr4_q34	chr4_q34.2
chr4	4	177500000	183200000	chrAll	867972424	873672424	chr4_q34	chr4_q34.3
chr4	4	183200000	187100000	chrAll	873672424	877572424	chr4_q35	chr4_q35.1
chr4	4	187100000	191154276	chrAll	877572424	881626700	chr4_q35	chr4_q35.2
chr5	5	0	4500000	chrAll	881626700	886126700	chr5_p15	chr5_p15.33
chr5	5	4500000	6300000	chrAll	886126700	887926700	chr5_p15	chr5_p15.32
chr5	5	6300000	9800000	chrAll	887926700	891426700	chr5_p15	chr5_p15.31
chr5	5	9800000	15000000	chrAll	891426700	896626700	chr5_p15	chr5_p15.2
chr5	5	15000000	18400000	chrAll	896626700	900026700	chr5_p15	chr5_p15.1
chr5	5	18400000	23300000	chrAll	900026700	904926700	chr5_p14	chr5_p14.3
chr5	5	23300000	24600000	chrAll	904926700	906226700	chr5_p14	chr5_p14.2
chr5	5	24600000	28900000	chrAll	906226700	910526700	chr5_p14	chr5_p14.1
chr5	5	28900000	33800000	chrAll	910526700	915426700	chr5_p13	chr5_p13.3
chr5	5	33800000	38400000	chrAll	915426700	920026700	chr5_p13	chr5_p13.2
chr5	5	38400000	42500000	chrAll	920026700	924126700	chr5_p13	chr5_p13.1
chr5	5	42500000	46100000	chrAll	924126700	927726700	chr5_p12	chr5_p12
chr5	5	46100000	48400000	chrAll	927726700	930026700	chr5_p11	chr5_p11
chr5	5	48400000	50700000	chrAll	930026700	932326700	chr5_q11	chr5_q11.1
chr5	5	50700000	58900000	chrAll	932326700	940526700	chr5_q11	chr5_q11.2
chr5	5	58900000	62900000	chrAll	940526700	944526700	chr5_q12	chr5_q12.1
chr5	5	62900000	63200000	chrAll	944526700	944826700	chr5_q12	chr5_q12.2
chr5	5	63200000	66700000	chrAll	944826700	948326700	chr5_q12	chr5_q12.3
chr5	5	66700000	68400000	chrAll	948326700	950026700	chr5_q13	chr5_q13.1
chr5	5	68400000	73300000	chrAll	950026700	954926700	chr5_q13	chr5_q13.2
chr5	5	73300000	76900000	chrAll	954926700	958526700	chr5_q13	chr5_q13.3
chr5	5	76900000	81400000	chrAll	958526700	963026700	chr5_q14	chr5_q14.1
chr5	5	81400000	82800000	chrAll	963026700	964426700	chr5_q14	chr5_q14.2
chr5	5	82800000	92300000	chrAll	964426700	973926700	chr5_q14	chr5_q14.3
chr5	5	92300000	98200000	chrAll	973926700	979826700	chr5_q15	chr5_q15
chr5	5	98200000	102800000	chrAll	979826700	984426700	chr5_q21	chr5_q21.1
chr5	5	102800000	104500000	chrAll	984426700	986126700	chr5_q21	chr5_q21.2
chr5	5	104500000	109600000	chrAll	986126700	991226700	chr5_q21	chr5_q21.3
chr5	5	109600000	111500000	chrAll	991226700	993126700	chr5_q22	chr5_q22.1
chr5	5	111500000	113100000	chrAll	993126700	994726700	chr5_q22	chr5_q22.2
chr5	5	113100000	115200000	chrAll	994726700	996826700	chr5_q22	chr5_q22.3
chr5	5	115200000	121400000	chrAll	996826700	1003026700	chr5_q23	chr5_q23.1
chr5	5	121400000	127300000	chrAll	1003026700	1008926700	chr5_q23	chr5_q23.2
chr5	5	127300000	130600000	chrAll	1008926700	1012226700	chr5_q23	chr5_q23.3
chr5	5	130600000	136200000	chrAll	1012226700	1017826700	chr5_q31	chr5_q31.1
chr5	5	136200000	139500000	chrAll	1017826700	1021126700	chr5_q31	chr5_q31.2
chr5	5	139500000	144500000	chrAll	1021126700	1026126700	chr5_q31	chr5_q31.3
chr5	5	144500000	149800000	chrAll	1026126700	1031426700	chr5_q32	chr5_q32
chr5	5	149800000	152700000	chrAll	1031426700	1034326700	chr5_q33	chr5_q33.1
chr5	5	152700000	155700000	chrAll	1034326700	1037326700	chr5_q33	chr5_q33.2
chr5	5	155700000	159900000	chrAll	1037326700	1041526700	chr5_q33	chr5_q33.3
chr5	5	159900000	168500000	chrAll	1041526700	1050126700	chr5_q34	chr5_q34
chr5	5	168500000	172800000	chrAll	1050126700	1054426700	chr5_q35	chr5_q35.1
chr5	5	172800000	176600000	chrAll	1054426700	1058226700	chr5_q35	chr5_q35.2
chr5	5	176600000	180915260	chrAll	1058226700	1062541960	chr5_q35	chr5_q35.3
chr6	6	0	2300000	chrAll	1062541960	1064841960	chr6_p25	chr6_p25.3
chr6	6	2300000	4200000	chrAll	1064841960	1066741960	chr6_p25	chr6_p25.2
chr6	6	4200000	7100000	chrAll	1066741960	1069641960	chr6_p25	chr6_p25.1
chr6	6	7100000	10600000	chrAll	1069641960	1073141960	chr6_p24	chr6_p24.3
chr6	6	10600000	11600000	chrAll	1073141960	1074141960	chr6_p24	chr6_p24.2
chr6	6	11600000	13400000	chrAll	1074141960	1075941960	chr6_p24	chr6_p24.1
chr6	6	13400000	15200000	chrAll	1075941960	1077741960	chr6_p23	chr6_p23
chr6	6	15200000	25200000	chrAll	1077741960	1087741960	chr6_p22	chr6_p22.3
chr6	6	25200000	27000000	chrAll	1087741960	1089541960	chr6_p22	chr6_p22.2
chr6	6	27000000	30400000	chrAll	1089541960	1092941960	chr6_p22	chr6_p22.1
chr6	6	30400000	32100000	chrAll	1092941960	1094641960	chr6_p21	chr6_p21.33
chr6	6	32100000	33500000	chrAll	1094641960	1096041960	chr6_p21	chr6_p21.32
chr6	6	33500000	36600000	chrAll	1096041960	1099141960	chr6_p21	chr6_p21.31
chr6	6	36600000	40500000	chrAll	1099141960	1103041960	chr6_p21	chr6_p21.2
chr6	6	40500000	46200000	chrAll	1103041960	1108741960	chr6_p21	chr6_p21.1
chr6	6	46200000	51800000	chrAll	1108741960	1114341960	chr6_p12	chr6_p12.3
chr6	6	51800000	52900000	chrAll	1114341960	1115441960	chr6_p12	chr6_p12.2
chr6	6	52900000	57000000	chrAll	1115441960	1119541960	chr6_p12	chr6_p12.1
chr6	6	57000000	58700000	chrAll	1119541960	1121241960	chr6_p11	chr6_p11.2
chr6	6	58700000	61000000	chrAll	1121241960	1123541960	chr6_p11	chr6_p11.1
chr6	6	61000000	63300000	chrAll	1123541960	1125841960	chr6_q11	chr6_q11.1
chr6	6	63300000	63400000	chrAll	1125841960	1125941960	chr6_q11	chr6_q11.2
chr6	6	63400000	70000000	chrAll	1125941960	1132541960	chr6_q12	chr6_q12
chr6	6	70000000	75900000	chrAll	1132541960	1138441960	chr6_q13	chr6_q13
chr6	6	75900000	83900000	chrAll	1138441960	1146441960	chr6_q14	chr6_q14.1
chr6	6	83900000	84900000	chrAll	1146441960	1147441960	chr6_q14	chr6_q14.2
chr6	6	84900000	88000000	chrAll	1147441960	1150541960	chr6_q14	chr6_q14.3
chr6	6	88000000	93100000	chrAll	1150541960	1155641960	chr6_q15	chr6_q15
chr6	6	93100000	99500000	chrAll	1155641960	1162041960	chr6_q16	chr6_q16.1
chr6	6	99500000	100600000	chrAll	1162041960	1163141960	chr6_q16	chr6_q16.2
chr6	6	100600000	105500000	chrAll	1163141960	1168041960	chr6_q16	chr6_q16.3
chr6	6	105500000	114600000	chrAll	1168041960	1177141960	chr6_q21	chr6_q21
chr6	6	114600000	118300000	chrAll	1177141960	1180841960	chr6_q22	chr6_q22.1
chr6	6	118300000	118500000	chrAll	1180841960	1181041960	chr6_q22	chr6_q22.2
chr6	6	118500000	126100000	chrAll	1181041960	1188641960	chr6_q22	chr6_q22.31
chr6	6	126100000	127100000	chrAll	1188641960	1189641960	chr6_q22	chr6_q22.32
chr6	6	127100000	130300000	chrAll	1189641960	1192841960	chr6_q22	chr6_q22.33
chr6	6	130300000	131200000	chrAll	1192841960	1193741960	chr6_q23	chr6_q23.1
chr6	6	131200000	135200000	chrAll	1193741960	1197741960	chr6_q23	chr6_q23.2
chr6	6	135200000	139000000	chrAll	1197741960	1201541960	chr6_q23	chr6_q23.3
chr6	6	139000000	142800000	chrAll	1201541960	1205341960	chr6_q24	chr6_q24.1
chr6	6	142800000	145600000	chrAll	1205341960	1208141960	chr6_q24	chr6_q24.2
chr6	6	145600000	149000000	chrAll	1208141960	1211541960	chr6_q24	chr6_q24.3
chr6	6	149000000	152500000	chrAll	1211541960	1215041960	chr6_q25	chr6_q25.1
